,,,,,,,,,,,,,
,,,,,,Fecha de Elaboración,,Versión,,,,,
,,,,,,feb-26,,V1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Actividad de Riesgo,,,,Evaluación del Riesgo Inherente,,,,Ambiente de Control,,,,
,Ámbito de Riesgo General,Descripción de la Actividad,Descripción de la Situación de Riesgo,Contingencias Asociadas,Frecuencia,Probabilidad,Impacto,Clasificación del Riesgo (Probabilidad x Impacto),Controles Existentes,Política y/o Procedimiento,Áreas Expuestas,Responsables de la actividad de riesgo,
,Contratación y Relaciones Laborales,Contratación de trabajadores extranjeros.,"Contratar con nuevos trabajadores extranjeros, sin realizar un due diligence (e.g., no tiene sus documentos al día).",• Explotación laboral (Art. 472 bis CP).,Semestral,1,3,3,no,• Política de Reclutamiento y Selección. ,"Gerencia General, RRHH / Personas",RRHH,
,Salud y Seguridad Física de Personas,Implementación y cumplimiento de procesos y protocolos para el resguardo de la salud y vida de trabajadores y terceros.,"Trabajadores de la Compañía incumplen protocolos y procesos que tengan como resultado accidentes que causen un daño a la salud o incluso la vida de colaboradores o terceros externos (e.g. accidentes en tiendas, casa matriz, bodega).","• Cuasidelitos de lesiones y homicidio. (Art. 490, 491 y 492 CP). ",Diario,2,3,6,Sí,• Reglamento Interno de Orden. Higiene y Seguridad.,"Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal / RRHH ,
,Salud y Seguridad Física de Personas,Salud física de los trabajadores. ,"No realizar mantenciones estructurales a las oficinas e instalaciones de la Compañía, afectando gravemente la salud de los trabajadores.","• Cuasidelitos de lesiones y homicidio. (Art. 490, 491 y 492 CP). ",Anual,2,3,6,no,"• Check Mantenimiento Mensual. 
• Mantenimientos anuales. 
• Labores de mantención. ",Gerencia General,Gerencia General / RRHH,
,Salud y Seguridad Física de Personas,"Uso, porte y tenencia de armas. ","Contratar proveedores o terceros por servicios de seguridad, sin verificar que estos den cumplimiento a la normativa vigente correspondiente al uso, porte y tenencia de armas.","• Porte, posesión y tenencia de armas y elementos reglamentados o permitidos (Art. 9 Ley No. 17.798).
• Porte o traslado de armas con infracción a la respectiva autorización (Art. 11 Ley No. 17.798).
• Posesión y tenencia de armas y elementos prohibidos (Art. 13 Ley No. 17.798).
• Utilización de armas y artefactos lesivos y disparo injustificado de arma de fuego (Art. 14-D Ley No.17.798).
• Cuasidelitos de lesiones y homicidio. (Art. 490, 491 y 492 CP). 
• Amenazas de delito y de mal que no constituye delito (Art. 296 y 297 CP).",Inusual,1,3,3,No,,"Finanzas, Legal, Operaciones / Ventas / Comercial",Legal,
,Salud y Seguridad Física de Personas,Porte y uso de armas en el ámbito laboral.,Trabajadores de la Compañía violan las normas sobre la tenencia y uso de armas en el contexto laboral.,"• Porte, posesión y tenencia de armas y elementos reglamentados o permitidos (Art. 9 Ley No. 17.798).
• Porte o traslado de armas con infracción a la respectiva autorización (Art. 11 Ley No. 17.798).
• Posesión y tenencia de armas y elementos prohibidos (Art. 13 Ley No. 17.798).
• Porte de armas y elementos prohibidos (Art. 14 Ley 17.798).
• Utilización de armas y artefactos lesivos y disparo injustificado de arma de fuego (Art. 14-D Ley No. 17.798).",Inusual,1,3,3,Sí,• Reglamento Interno de Orden. Higiene y Seguridad.,"Gerencia General, RRHH / Personas",RRHH,
,Salud y Seguridad Física de Personas,Seguridad de Transportistas.,"No regular y/o supervigilar condiciones de conducción de los transportistas (e.g., que los transportistas cumplan con horarios máximos de conducción, testeos aleatorios de consumo de alcohol y drogas, etc.).","• Cuasidelitos de lesiones y homicidio. (Art. 490, 491 y 492 CP). 
• Daños calificados (Art. 485 N° 6 y 7, y 486 CP). 
• Daño a monumento nacional (Art. 38 Ley 17.288).",Semanal,2,3,6,no,Política de Seguro para vehículos,Gerencia General,Gerencia General,
,Salud y Seguridad Física de Personas,Criterios de actuación de guardias de seguridad.,"No establecer criterios de actuación en caso de comisión de delitos flagrantes en tienda, que resulta en el uso desmedido de violencia por parte de los guardias de seguridad de la Empresa","• Cuasidelitos de lesiones y homicidio. (Art. 490, 491 y 492 CP). 
• Porte, posesión y tenencia de armas y elementos reglamentados o permitidos (Art. 9 Ley No. 17.798).
• Porte o traslado de armas con infracción a la respectiva autorización (Art. 11 Ley No. 17.798).
• Posesión y tenencia de armas y elementos prohibidos (Art. 13 Ley No. 17.798).
• Porte de armas y elementos prohibidos (Art. 14 Ley 17.798).
• Utilización de armas y artefactos lesivos y disparo injustificado de arma de fuego (Art. 14-D Ley No. 17.798).",Inusual,1,3,3,No,,Gerencia General,Gerencia General,"En relación a tu comentario señalar que el criterio insual se utiliza cuando no aplica al giro, pero dado que la matriz de riesgos debe contemplar todos los posibles delitos aplicables y con ello una matriz organica integral dejamos todos los delitos y solo morigeramos el criterio con la determinacion de la frecuencia como inusual."
,Uso de Sistemas,Envío masivo de correos.,"La Compañía envía masivamente correos a clientes en contravención a los lineamientos de la compañía, es decir, sin verificar la sanidad de los links o del contenido adjunto. ","• Ataque a la integridad de un sistema informático (Art 4. Ley No 21.459).
• Fraude Informático (Art 7. Ley No 21.459).
",Semanal,4,3,12,no,Política de uso de dispositivos electrónicos y datos personales.,"Legal, Operaciones /  TI / Ciberseguridad",CISO,
,Uso de Sistemas,Baja de credenciales de accesos.,No dar de baja en tiempo y forma a las credenciales de los trabajadores desvinculados en concordancia con los lineamientos establecidos por la Compañía. ,"• Acceso Ilícito (Art. 2 Ley No. 21.459).
• Ataque a la integridad de los datos formático  (Art. 4 Ley No 21.459).
• Receptación de datos informáticos (Art. 6 Ley No 21.459).",Mensual,2,2,4,no,Política de uso de dispositivos electrónicos y datos personales.,"Legal, Operaciones /  TI / Ciberseguridad",CISO,
,Uso de Sistemas,Ingreso a la Dark Web o Deep Web para monitoreo de la Empresa,Acceder ilícitamente a sistemas informáticos de terceros para recopilar información sobre la Compañía. ,• Acceso Ilícito (Art. 2 Ley No. 21.459).,Inusual,1,2,2,no,Política de uso de dispositivos electrónicos y datos personales.,"Legal, Operaciones /  TI / Ciberseguridad",CISO,
,Uso de Sistemas,Acceso a correos de trabajadores.,Acceder a los correos de los trabajadores en contravención a los lineamientos de la Empresa y de la normativa vigente. ,"• Acceso Ilícito (Art. 2 Ley No. 21.459).
• Interceptación ilícita (Art. 3 Ley No 21.459).",Anual,2,2,4,no,Política de uso de dispositivos electrónicos y datos personales.,"Legal, Operaciones /  TI / Ciberseguridad",CISO,
,Uso de Sistemas,"Uso, adquisición  y gestión de bases de datos.","Almacenamiento, adquisición o gestión de datos obtenidos de manera ilícita.",• Receptación de datos informáticos (Art. 6 Ley No. 21.459).,Mensual,2,3,6,no,Política de uso de dispositivos electrónicos y datos personales.,"Legal, Operaciones /  TI / Ciberseguridad",CISO / Legal,
,Uso de Sistemas,Uso de firma electrónica.,Falta de protocolos o lineamientos para el uso adecuado de la firma electrónica y otros medios tecnológicos para la verificación de identidad de una persona.,"• Fraude por suscripción engañosa de documentos (Art. 470 N°4 CP).
• Falsificación informática (Art. 5 de la Ley No. 21.459).",Semanal,4,5,20,no,Política de uso de dispositivos electrónicos y datos personales.,"Legal, Operaciones /  TI / Ciberseguridad",CISO,
,Uso de Equipos y Dispositivos,Uso de dispositivos.,"Tolerar, a sabiendas, que colaboradores de la compañía utilicen máquinas para clonar tarjetas de pago; o distribuidores le entregan tales dispositivos a sus colaboradores para defraudar a clientes.","• Abuso de los dispositivos (Art. 8 Ley No. 21.459).
• Fraude a través de tarjetas de pago (Art. 468 CP).
• Uso malicioso de tarjeta ajena (Art. 7 f) y h) Ley No. 20.009).",Inusual,1,3,3,no,Política de uso de dispositivos electrónicos y datos personales.,"Gerencia General, RRHH / Personas",RRHH,
,Asuntos referidos a la Propiedad Intelectual e Industrial,Uso de marcas.,"Comercializar productos falsificados, es decir, artículos que lleven puesta sin autorización una marca de fábrica o de comercio idéntica a la marca válidamente registrada para tales mercancías, o que no pueda distinguirse en sus aspectos esenciales de esa marca. ","• Piratería (Art. 81 Ley 17.336).
• Falsificación de marca registrada y explotación comercial de esta. (Art. 28 bis (Ley N°19.039).",Mensuall,4,5,20,No,Trabaja con proveedor fabricación directo ,Gerencia General,Gerencia General,"En este caso podemos cambiar la frecuencia a mensual, recordar que el producto no solo se refiere a algo fisico, un software es un producto, y la ultilización de alguna marca comercial de forma digital también cae en esta categoria. Nuevamente el criterio no es dejar delitos fuera de la matriz sino señalar que se aplican o no conforme a su frecuencia. "
,Asuntos referidos a la Propiedad Intelectual e Industrial,"Compra, importación y fabricación por encargo de productos.","Compra, importación y fabricación por encargo de productos utilizando diseños, marcas, modelos, dibujos imágenes u otros registros de terceros, sin contar con los respectivos derechos.","• Falsificación de obra (Art. 79 bis Ley 17.336).
• Piratería (Art. 81 Ley 17.336).
• Explotación sin derecho de marca y simulación (Art. 28 Ley 19.039).
• Falsificación de marca registrada y explotación comercial de esta (Art. 28 bis Ley 19.039).
• Explotación sin derecho de producto, objeto, procedimiento o invento patentado (Art. 52  Ley 19.039).
• Explotación sin derecho de modelo de utilidad registrado (Art. 61 Ley 19.039).
• Explotación sin derecho de dibujo o diseño registrado (Art. 67 Ley 19.039).
• Uso indebido de indicación geográfica (Art. 105 Ley 19.039).
• Contrabando (Art. 168 y 182 DL No. 30).",Semanal,4,5,20,No,Trabaja con proveedor fabricación directo ,"Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal,
,Asuntos referidos a la Propiedad Intelectual e Industrial,Uso de imágenes en campañas publicitarias o en canales digitales.,"Utilizar imágenes de terceros en Campañas de Marketing o Canales Digitales,  sin contar con la licencia o derecho para ello o en contravención a los lineamientos de la Compañía. (e.g. no utilizar banco de imágenes).","• Publicación, reproducción, adaptación, distribución al público obras de dominio ajeno o de dominio público (Art. 79 y 80 Ley 17.336).
",Mensual,1,4,4,No,,"Gerencia General, Legal, Ventas / Comercial",Legal,
,Asuntos Ambientales,Retiro de residuos (Ley REP).,"Disposición final de residuos, y/o contratación de proveedores para la disposición final de estos.","• Daño ambiental doloso (Art. 308 CP).
• Daño ambiental negligente (Art. 309 CP).
• Manejo de residuos peligrosos (Art. 44 de la Ley No. 20.920).
• Falsificación y uso de instrumento privado e instrumento privado mercantil (Art. 197 y 198 CP).",Mensual,1,3,3,No,,"Finanzas, Legal, Operaciones / Ventas / Comercial",Legal,
,Asuntos Ambientales,Contratación de proveedores.,"Contratar proveedores de transporte, disposición de residuos u otro similar, sin verificar que este de cumplimiento a la normativa de protección al medioambiente.",• Riesgo generales en materia de delitos medioambientales. ,Ocasional,1,2,2,No,,"Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal,
,Asuntos propios del giro ,Fiscalizaciones realizadas por autoridades públicas. ,"Impedir u obstaculizar las facultades fiscalizadoras de la Fiscalía Nacional Económica, la Comisión del Mercado Financiero o otra institución pública. ","• Ocultar información, proporcionar información falsa a la FNE (Art. 39 h) DL No. 211).
• Incumplimiento de las obligaciones establecidas para el correcto desempeño del Mercado de Valores (Art. 62 Ley N°18.045). 
• Obstaculizar o impedir el ejercicio de las facultades fiscalizadoras de la CMF (Art. 35 DL N°3.538). 
• Eludir la fiscalización de la CMF (Art. 2 DFL No. 3).
• Alterar o desfigurar datos o antecedentes para dificultar, desviar o eludir una fiscalización (Art. 158 DFL No. 3).",Inusual,1,4,4,No,Política de Libre competencia y código de ética ,"Gerencia General, Legal, Ventas / Comercial",Legal,
,Asuntos propios del giro,Fe pública.,"Falsificar letras de crédito o hacer circular letras de crédito entregadas por clientes, sabiendo que se trata de documentos falsificados. ","• Falsificación de letras de crédito (Art. 110 DFL No. 3). 
• Estafa (Art. 467, 468 y 473 CP).",Inusual,1,2,2,No,,Gerencia General,Gerencia General / Legal,
,Asuntos propios del giro,Uso exclusivo de marca.,"Alteración de precio de productos por tener representación exclusiva de los mismos.

 ",• Alteración fraudulenta de precios y de precios de productos de primera necesidad (Art. 285 y 286 CP).,Inusual,1,3,3,No,,Gerencia General,Gerencia General,
,Mecanismos de Autorregulación,Capacitaciones y difusión de mecanismos de control.,No realizar capacitaciones o difusión de los mecanismos de control que se han dispuesto por la Compañía para la prevención de riesgos legales.,• Riesgos generales de incumplimiento a la Ley No. 20.393.,Anual,2,4,8,no,• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. ,Gerencia General,Gerencia General / Legal,
,Mecanismos de Autorregulación,Definición de roles y responsabilidades.,"Falta de una estructura organizacional formalmente responsable de actividades de prevención, detección y respuesta, y de mantener efectivamente el MPD implementado.",• Riesgos generales de incumplimiento a la Ley No. 20.393.,Anual,2,3,6,no,• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. ,Gerencia General,Gerencia General,
,Mecanismos de Autorregulación,Recepción e investigación de denuncias.,No contar con un canal de denuncias para alertar tempranamente hechos que puedan constituir infracciones a la autorregulación o a la ley; y/o no dar cumplimiento al procedimiento establecido para su investigación.,• Riesgos generales de incumplimiento a la Ley No. 20.393.,Mensual,4,5,20,no,• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. ,Gerencia General,Gerencia General / Legal,
,Mecanismos de Autorregulación,Reportes en materia de Cumplimiento a la Administración,"Presentar reportes en materia de Cumplimiento adulterados u omitiendo información a sabiendas o por negligencia, lo que resulta en una apreciación incorrecta del cumplimiento de la Compañía por parte del Directorio o el Comité.",• Riesgos generales de incumplimiento a la Ley No. 20.393.,Semestral ,2,1,2,no,• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. / • Glosas y cláusulas con terceros,"Finanzas, Gerencia General, Legal",Gerencia General,
,Mecanismos de Autorregulación,Suscripción de contratos. ,"No incorporar cláusulas relativas a la prevención de delitos en contratos con trabajadores, proveedores, contratistas y terceros, ni en órdenes de compra.",• Riesgos generales de incumplimiento a la Ley No. 20.393. ,Mensual,2,2,4,no,• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. ,"Finanzas, Legal, Operaciones / Ventas / Comercial",Legal,
,Mecanismos de Autorregulación,Plan de respuesta ante incidentes. ,No contar ni reforzar un plan de respuesta ante incidentes de ciberseguridad. ,• Riesgos generales de incumplimiento a la Ley No. 20.393.,Semestral,1,1,1,No,,"Legal, Operaciones /  TI / Ciberseguridad",CISO,
,Mecanismos de Autorregulación,Realización de procedimientos de auditoría interna y externa. ,"No realizar procesos de auditoría interna o externa, sea de procesos o recursos financieros; o no dar respuesta a las brechas identificadas en tales procesos.",• Riesgos generales de incumplimiento a la Ley No. 20.393.,Semestral,3,2,6,no,• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. ,Gerencia General,Gerencia General / Legal,
