,,,,,,,,,,,,,
,,,,,,Fecha de Elaboración,,Versión,,,,,
,,,,,,feb-26,,V1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Actividad de Riesgo,,,,Evaluación del Riesgo Inherente,,,,Ambiente de Control,,,,
,Ámbito de Riesgo General,Descripción de la Actividad,Descripción de la Situación de Riesgo,Contingencias Asociadas,Frecuencia,Probabilidad,Impacto,Clasificación del Riesgo (Probabilidad x Impacto),Controles Existentes,Política y/o Procedimiento,Áreas Expuestas,Responsables de la actividad de riesgo,
,"Relación con Proveedores, Contratistas u otros prestadores de servicios","Compra, importación y fabricación por encargo de productos.","Compra, importación y fabricación por encargo de productos que no cumplen con estándares de calidad y seguridad (e.g., toxicidad de materiales o embalaje, instrucciones de armado, alertas de seguridad o uso, materiales inflamables, riesgo de asfixia, etc.).","• Daño ambiental doloso (Art. 308 CP).
• Daño ambiental negligente (Art. 309 CP).
• Cuasidelitos de lesiones y homicidio. (Art. 490, 491 y 492 CP). 
• Estafa (Art. 467, 468 y 473 CP). ",Semestral,1,4,4,no,"• Política de Compras y Contrataciones de Servicios.
• Procedimiento de Pago a Proveedores.","Finanzas, Legal, Operaciones / Ventas / Comercial",Legal,
,"Relación con Proveedores, Contratistas u otros prestadores de servicios",Pago a proveedores.,No contar con adecuados controles en la gestión de pagos a proveedores.,"• Lavado de activos (Art. 27 Ley No. 19.913).
• Apropiación indebida (Art. 470 N°1 CP).
• Cohecho a funcionario público (Art. 250 CP).
• Corrupción entre particulares (Art. 287 bis y 287 ter CP).
• Falsificación y uso de instrumento privado o instrumento privado mercantil falso (Art. 197 y 198 CP).
• Estafa (Art. 467, 468 y 473 CP).
• Riesgos generales de incumplimiento a la Ley No. 20.393.",Anual,2,4,8,no,"• Política de Compras y Contrataciones de Servicios.
• Procedimiento de Pago a Proveedores.
• Política de Ingreso de Boletas de Honorarios.","Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal,"En relación a tu comentario sobre el flojo diario, dichos delitos se pueden dar con ocasión incluso de esta modalidad, por lo que la recomendación en mantener la frecuencia y los otros items en este rango como control eventual preventivo. "
,"Relación con Proveedores, Contratistas u otros prestadores de servicios",Trazabilidad en el transporte de productos.,"No contar con un sistema que permita mantener la trazabilidad de los productos que son transportados, lo que crea oportunidades para incorporar productos de procedencia ilícita.","• Receptación (Art. 456 bis A CP).
• Contrabando (Art. 168 y 182 DL No. 30).",Mensual,2,4,8,no,"• Política de Compras y Contrataciones de Servicios.
","Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal,
,Relación con Clientes,Realización de due diligence a clientes.,Incorporar o realizar gestiones a clientes respecto de los cuales no se han realizado las revisiones o due diligence correspondientes. ,"• Corrupción entre particulares (Art. 287 bis y 287 ter CP).
• Lavado de Activos (Art. 27 Ley No. 19.913).
• Financiamiento del Terrorismo (Art 8 de la Ley N°18.314).
• Financiamiento de agrupaciones militarizadas ilegales (Art. 8  Ley No. 17.798).
• Financiamiento ilegal de partidos o campañas políticas (Art. 30 Ley No. 19.884).
• Préstamos a personas incapaces (Art. 283 CP).
• Fraude concursal previo a la liquidación (Art. 463 CP). ",Mensual,2,4,8,no,"• Política de Control y Gestión de Riesgos
• Manual de Procedimientos Internos para la Prevención de Delitos Ley 19.913 y 20.393. ","Gerencia General, Legal, Ventas / Comercial",Gerencia General,
,Relación con Clientes,Cobro a clientes por cargos y servicios.,Realizar cobros indebidos a clientes. ,"• Defraudación con pretexto de supuestas remuneraciones a empleados públicos (Art. 469 N°5 CP).
• Apropiación indebida (Art. 470 N°1 CP).
• Estafa (Art. 467, 468, 473 CP).
• Usura (Art. 472 CP). 
",Mensual,2,4,8,no,• Política de Control y Gestión de Riesgos,"Gerencia General, RRHH / Personas",Finanzas,
,Relación con Clientes,Suscripción de contratos. ,"Suscribir contratos con clientes incurriendo en estafas, fraude o mediante la falsificación de documentos. ","• Estafa (Art. 467, 468 y 473 CP). 
• Fraude por suscripción engañosa de documento (Art. 470 N°4 CP). 
• Fraude por sustracción, ocultación, destrucción o inutilización de documento (Art. 470 N°5 CP). 
• Falsificación y uso de instrumento privado e instrumento privado mercantil (Art. 197, 198 CP). 
• Contrato simulado (Art. 471 N°2 CP).",Mensual,1,4,4,No,,"Finanzas, Legal, Operaciones / Ventas / Comercial",Legal,
,Relación con Clientes,Manejo de fondos de clientes. ,"Personal de la Empresa desvía dineros de las cuentas de clientes, sin su conocimiento, o reciben pagos indebidos por parte de clientes. ","• Apropiación indebida (Art. 470 N° 1 CP).
• Falsificación informática (Art. 5 Ley No. 21.459).
• Fraude informático (Art. 7 Ley No. 21.459).
•  Abuso de Dispositivos (Art. 8 Ley No. 21.459).",Inusual,2,4,8,No,,"Legal, Operaciones / IT/ Ciberseguridad",Legal,
,Relación con Clientes,Proceso de cobranza.,Trabajadores de la compañía incurren en amenazas a clientes u otros terceros en el contexto de un proceso de cobranza. ,• Amenazas de delito y de mal que no constituye delito (Art. 296 y 297 CP).,Semanal,3,2,6,No,,"Finanzas, Legal, Operaciones / Ventas / Comercial",Legal / Finanzas,
,Relación con Clientes,Pago de deudas por Clientes.,"Recepcionar pago de deudas realizado por clientes con dinero en efectivo, sin que la Compañía tenga conocimiento del origen del dinero.",• Lavado de Activos (Art. 27 Ley No. 19.913).,Inusual,1,4,4,No,,Gerencia General,Gerencia General  / Finanzas,
,Relación con Competidores,Alteración de precios internos.,"Realizar acuerdos inter-área y en contravención a los lineamientos de la Empresa, que puedan afectar o incidir en los precios a los que los productos son ofrecidos a los consumidores.","• Colusión (Art. 62 DL No. 211).
• Alteración fraudulenta de precios y de precios de productos de primera necesidad (Art. 285 y 286 CP).",Inusual,1,5,5,Si,• Manual Política de Libre competencia. / • Código de ética,Gerencia General,Gerencia General / Comercial,
,Relación con Competidores,Acceso a información de la Competencia.,Acceder ilícitamente a información comercialmente sensible de la competencia a través de un tercero proveedor o cliente. ,"•  Acceso a secreto comercial por intromisión (Art. 284 CP).
• Aprovechamiento económico de un secreto comercial (Art. 284 ter CP).
• Colusión (Art. 62 DL No. 211).
• Alteración fraudulenta de precios y de precios de productos de primera necesidad (Art. 285 y 286 CP).
• Estafa (Art. 467, 468 y 473 CP).",Inusual,1,5,5,Si,• Manual Política de Libre competencia. / • Código de ética,"Legal, Operaciones /  TI / Ciberseguridad",CISO / Comercial,
